date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:47	125/125	---M-Z	200	added ('OK')	text/plain	date:Tue,%2023%20Jul%202024%2023:59:47%20GMT	https://professionalprofits.com/robots.txt		(from )
00:59:48	149839/149839	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jul%202024%2023:59:47%20GMT	https://professionalprofits.com/	C:/My%20Web%20Sites/tori/professionalprofits.com/index.html	(from )
00:59:49	94960/94960	---M-Z	200	added ('OK')	text/css	etag:%2238c11ea-172f0-607bf5535c880-gzip%22	https://professionalprofits.com/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.16.24	C:/My%20Web%20Sites/tori/professionalprofits.com/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikitf14a.css	(from https://professionalprofits.com/)
00:59:49	1053/1053	---M-Z	200	added ('OK')	application/rss+xml	etag:%227307100dd28dd246c49e1b70407c9d6f-gzip%22	https://professionalprofits.com/feed/	C:/My%20Web%20Sites/tori/professionalprofits.com/feed/index.html	(from https://professionalprofits.com/)
00:59:49	727/727	---M-Z	200	added ('OK')	application/rss+xml	etag:%227307100dd28dd246c49e1b70407c9d6f-gzip%22	https://professionalprofits.com/comments/feed/	C:/My%20Web%20Sites/tori/professionalprofits.com/comments/feed/index.html	(from https://professionalprofits.com/)
00:59:49	41067/41067	---M-Z	200	added ('OK')	text/css	etag:%2238c11fc-a06b-607bf55544d00-gzip%22	https://professionalprofits.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helper.css?ver=7.4.0	C:/My%20Web%20Sites/tori/professionalprofits.com/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helperfbed.css	(from https://professionalprofits.com/)
00:59:49	2782/2782	---M-Z	200	added ('OK')	text/css	etag:%222821431-ade-61be793779d43-gzip%22	https://professionalprofits.com/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min.css?ver=1719531285	C:/My%20Web%20Sites/tori/professionalprofits.com/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min1980.css	(from https://professionalprofits.com/)
00:59:49	293/293	---M-Z	200	added ('OK')	text/css	etag:%222821053-125-607bf54bbb680-gzip%22	https://professionalprofits.com/wp-content/themes/vault-child/style.css?ver=6.5.5	C:/My%20Web%20Sites/tori/professionalprofits.com/wp-content/themes/vault-child/styleadc6.css	(from https://professionalprofits.com/)
00:59:50	146740/146740	---M-Z	200	added ('OK')	text/css	etag:%2228226f6-23d34-61be793aaa3ee-gzip%22	https://professionalprofits.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.22.3	C:/My%20Web%20Sites/tori/professionalprofits.com/wp-content/plugins/elementor/assets/css/frontend-lite.mindcff.css	(from https://professionalprofits.com/)
00:59:50	17015/17015	---M-Z	200	added ('OK')	text/css	etag:%223901119-4277-61be7ab6ad3e0-gzip%22	https://professionalprofits.com/wp-content/uploads/elementor/css/post-36.css?ver=1719531687	C:/My%20Web%20Sites/tori/professionalprofits.com/wp-content/uploads/elementor/css/post-366af1.css	(from https://professionalprofits.com/)
